ORI Code,Origin,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
FGU,French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,
FPO,French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
GAB,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,22,25,24,19,28,26,26,27,37,39,53,81,95,116,129,144,165,173,183,177
GAM,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,15,24,26,30,161,310,421,570,677,750,734,861,746,684,1683,1254,1267,1352,1973,2242,2583,3076,3434
GEO,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6012,5117,308,48489,47164,35669,29878,21821,17498,16975,12497,6633,7301,6340,11810,12598,15020,10640,10112,9261,6772
GFR,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,8,449,386,420,443,688,1298,1183,1033,928,725,78,78,114,129,166,170,164,174,182,175
GHA,Ghana,,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,2,2,312,1958,2202,3195,2699,3916,4769,4716,4691,4701,4776,4473,14289,13592,15095,14775,13633,13293,14775,14556,15686,15879,14767,18433,9960,5063,13242,14893,20203,20361,24298,21378
GIB,Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2
GRE,Greece,,,,,,17690,7090,23420,21820,21590,21290,1480,6610,5900,580,510,450,410,380,360,340,320,300,280,260,,,,6,6,16,6,1,1,94,222,250,178,174,164,125,97,301,270,224,331,91,92,67,62,51,56,51,92
GRN,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,4,4,1,,3,6,11,12,20,36,24,53,73,77,99,152,202,297,312,333,345,323,316,330
GUA,Guatemala,,,,,,,,,,,,,,,,,,,,,750,1910,36490,41800,47880,52890,52800,53700,53753,45413,47988,52587,53941,50267,49610,42899,40342,37508,32747,28082,20711,16867,13888,6696,4376,3379,6496,6161,5934,5768,5679,6088,6388,6615
GUI,Guinea,,,,,,,,,,,,300,,,,300000,500000,3000,,,,,50,,70,,50,50,50,50,,2,19,31,106,441,523,648,924,1151,1497,2019,3418,3871,4782,5820,6840,8278,9495,10920,11985,13161,14061,14594
GNB,Guinea-Bissau,,,,6000,30000,50000,61050,59520,56740,67800,66660,80000,82000,84000,90000,46000,37000,5000,5000,5000,5002,4002,5002,5002,5012,5352,5354,5002,5001,5004,5003,5006,5008,5011,5015,830,856,868,8887,3185,886,927,986,975,1018,1050,1004,1028,1065,1109,1127,1123,1180,1236
GUY,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,1,2,4,71,62,55,38,41,49,36,36,49,78,194,406,537,677,708,727,749,771,801,800
HAI,Haiti,,,,,,,,,,,,,,,1000,,,,300,3300,3800,5000,5000,5230,5440,6100,5120,5080,4699,3344,2092,1858,2486,3866,9803,13925,15118,15481,13538,8766,7561,7248,7718,7547,9208,13542,20837,22280,23066,24116,25892,33661,38568,38660
VAT,Holy See (the),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,
